카테고리 ID,대분류,중분류,소분류
29205, , ,고객 상담원(스포츠·예식·항공·여행·숙박·오락)
29206, , ,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송)
29207, , ,고객 상담원(백화점·마트)
29208, , ,고객 상담원(인터넷·통신)
29209, , ,고객 상담원(A/S·고장·제품사용)
29210, , ,병원 코디네이터
29211, , ,모니터 요원
01B, ,통계·비서·사무보조·기타 사무, 
29301, , ,통계 사무원
29302, , ,통계·설문 조사원(슈퍼바이저 포함)
29400, , ,비서
29500, , ,전산자료 입력원 및 사무 보조원
29501, , ,전산자료 입력원(DB·단순자료)
29502, , ,전산자료 입력원(약국·판매·대리점)
29503, , ,홈페이지 자료관리원(정보검색 포함)
29504, , ,HTML 코더
29505, , ,사무 보조원(공공기관)
29506, , ,사무 보조원(일반사업체)
29900, , ,기타 사무원
29901, , ,도서 정리원
29902, , ,출판·자료 편집 사무원
29903, , ,속기사
29904, , ,행정사·문서대행자
29905, , ,취업 알선원(직업소개소)
29906, , ,부동산 중개 보조 사무원
134301, , ,정보시스템 운영자
231400, , ,직업상담사
613000, , ,텔레마케터
01C, ,금융·보험 전문가, 
31100, , ,투자·신용 분석가(애널리스트)
31200, , ,자산 운용가(펀드매니저)
31300, , ,보험·금융상품 개발자
31400, , ,증권·외환 딜러
31500, , ,손해사정사
31900, , ,"금융 컨설턴트, PB 등 기타 금융·보험 전문가"
01D, ,금융·보험 사무 및 영업, 
32100, , ,은행 사무원(출납창구 제외)
32200, , ,증권 사무원(출납창구 제외)
32300, , ,보험 심사원 및 사무원
32400, , ,출납창구 사무원
32401, , ,출납창구 사무원(은행·농협·수협·축협)
32402, , ,출납창구 사무원(우체국·새마을금고)
32403, , ,출납창구 사무원(증권 및 기타 금융기관)
32500, , ,수금원 및 신용 추심원
32501, , ,수금원
32502, , ,신용 추심원(채권 관리원)
32503, , ,연체 안내원(체납 고지원)
32900, , ,"카드사·신협·새마을금고·할부사, 우체국(금융부문) 등 기타 사무원"
33100, , ,대출·신용카드 모집인
33200, , ,보험 모집인 및 투자 권유 대행인
33201, , ,보험 대리인 및 중개인
33203, , ,투자 권유 대행인
2,연구 및 공학기술, , 
21, ,인문·사회·자연·생명과학 연구 및 시험, 
110100, , ,인문과학 연구원
110200, , ,사회과학 연구원
121100, , ,자연과학 연구원
121200, , ,자연과학 시험원
122101, , ,생명과학 연구원
122102, , ,농어업 연구원 및 기술자
122103, , ,임업 및 산림 연구원 및 기술자
122200, , ,생명과학 시험원
122300, , ,농림어업 시험원
215200, , ,대학 교육 조교(TA) 및 연구 조교(RA)
22, ,컴퓨터하드웨어·통신공학, 
131100, , ,컴퓨터 하드웨어 기술자 및 연구원
131200, , ,통신공학 기술자 및 연구원
131201, , ,통신기기·장비 개발자 및 연구원
131202, , ,통신기술 개발자 및 통신망 운영 기술자
131203, , ,통신공사 감리 기술자
132000, , ,컴퓨터시스템 전문가
